date,pct_snacks,total_calories,missing_breakfast_ind,missing_lunch_ind,calories_12,carbs_12,fat_12,protein_12,sodium_12,sugar_12,calories_18,carbs_18,fat_18,protein_18,sodium_18,sugar_18,excessive_calories_ind,prior_day_calories
2019-08-26,0.4,1632,0,0,495,65,18,30,417,33,1102,151,43,44,1619,52,FALSE,1700
2019-08-27,0.5714285714285714,2118,0,0,770,75,25,50,770,38,1362,131,55,83,1842,52,TRUE,1632
2019-08-28,0.5,1713,0,0,533,85,16,19,363,35,936,145,33,29,497,74,TRUE,2118
2019-08-29,0.7272727272727273,1946,0,0,672,86,16,51,1064,47,1230,214,28,61,1909,64,TRUE,1713
2019-08-30,0.4,1809,0,0,535,62,10,55,930,16,817,103,23,58,1319,23,TRUE,1946
2019-08-31,0.7,1893,0,0,577,83,17,25,447,53,1050,162,25,55,977,80,TRUE,1809
2019-09-01,0.5714285714285714,2004,0,0,732,82,34,34,120,24,1228,135,55,63,545,31,TRUE,1893
2019-09-02,0.8,1586,0,1,951,113,40,42,789,45,1081,133,45,48,909,51,FALSE,2004
2019-09-03,0.6666666666666666,1428,0,1,503,64,17,22,402,38,503,64,17,22,402,38,FALSE,1586
2019-09-04,0.7,2339,0,0,923,118,21,73,1175,55,1814,244,55,105,1738,114,TRUE,1428
2019-09-05,0.2,1778,0,0,431,60,17,14,118,23,933,94,45,47,1142,34,TRUE,2339
2019-09-06,0.6666666666666666,2165,0,0,456,59,14,27,231,38,1195,133,53,59,461,51,TRUE,1778
2019-09-07,0.6,2028,0,0,755,105,24,36,560,44,1205,172,35,58,907,76,TRUE,2165
2019-09-08,0.5,1634,0,0,635,78,24,31,820,12,1551,181,61,81,1734,31,FALSE,2028
2019-09-09,0.5,1297,0,0,328,48,9,16,280,20,571,71,21,30,450,31,FALSE,1634
2019-09-10,0.6,1567,0,0,463,53,14,31,387,18,825,93,31,49,637,33,FALSE,1297
2019-09-11,0.5,1670,0,0,300,33,9,25,320,8,730,87,27,43,765,43,FALSE,1567
2019-09-12,0.42857142857142855,1452,0,0,617,71,24,36,534,24,905,106,30,58,919,41,FALSE,1670
2019-09-13,0.25,1444,0,0,305,45,8,15,270,20,789,93,34,36,471,28,FALSE,1452
2019-09-14,0.7142857142857143,1474,0,0,362,47,7,35,638,30,1119,138,37,74,1553,61,FALSE,1444
2019-09-15,0.6666666666666666,1326,0,0,708,94,31,23,328,41,1098,146,41,48,668,66,FALSE,1474
2019-09-16,0.42857142857142855,1872,0,0,308,53,7,13,250,16,908,140,26,41,945,54,TRUE,1326
2019-09-17,0.7142857142857143,1579,0,0,515,64,17,30,390,24,1237,128,55,70,1524,42,FALSE,1872
2019-09-18,0.625,1602,0,0,722,119,14,40,800,60,940,150,23,45,1090,64,FALSE,1579
2019-09-19,0.5714285714285714,1688,0,0,361,61,12,12,249,20,851,110,32,46,919,34,FALSE,1602
2019-09-20,0.42857142857142855,1678,0,0,395,64,9,21,415,29,1076,170,37,38,910,69,FALSE,1688
2019-09-21,0.6,1466,1,0,0,0,0,0,0,0,794,97,25,23,1282,48,FALSE,1678
2019-09-22,0.7142857142857143,1082,0,0,375,46,11,35,581,24,888,101,33,62,1125,48,FALSE,1466
