date_bedtime,date_wake,broken_sleep_ind,bedtime,wake,nap_ind,rating,duration_mins,duration_hours,bedtime_hour,dist_from_6pm_mins,mins_from_8_hours,day_of_week,work_day
2019-08-24T04:00:00Z,2019-08-25T04:00:00Z,0,2019-08-25T05:27:00Z,2019-08-25T14:09:00Z,0,3.5,522,8.7,1,447,42,Sat,Fri-Sat
2019-08-25T04:00:00Z,2019-08-26T04:00:00Z,0,2019-08-26T03:40:00Z,2019-08-26T11:18:00Z,0,3.25,458,7.6,23,340,-22,Sun,Worknight
2019-08-26T04:00:00Z,2019-08-27T04:00:00Z,0,2019-08-27T02:14:00Z,2019-08-27T10:52:00Z,0,4,518,8.6,22,254,38,Mon,Worknight
2019-08-27T04:00:00Z,2019-08-28T04:00:00Z,0,2019-08-28T02:52:00Z,2019-08-28T10:49:00Z,0,4.25,477,8,22,292,-3,Tue,Worknight
2019-08-28T04:00:00Z,2019-08-29T04:00:00Z,0,2019-08-29T02:32:00Z,2019-08-29T12:05:00Z,0,3,573,9.6,22,272,93,Wed,Worknight
2019-08-29T04:00:00Z,2019-08-30T04:00:00Z,0,2019-08-30T04:41:00Z,2019-08-30T12:51:00Z,0,3.75,490,8.2,0,401,10,Thu,Worknight
2019-08-30T04:00:00Z,2019-08-31T04:00:00Z,0,2019-08-31T03:16:00Z,2019-08-31T11:32:00Z,0,3,496,8.3,23,316,16,Fri,Fri-Sat
2019-08-31T04:00:00Z,2019-09-01T04:00:00Z,0,2019-09-01T05:02:00Z,2019-09-01T14:09:00Z,0,3.5,547,9.1,1,422,67,Sat,Fri-Sat
2019-09-01T04:00:00Z,2019-09-02T04:00:00Z,0,2019-09-02T05:08:00Z,2019-09-02T13:12:00Z,0,4.5,484,8.1,1,428,4,Sun,Worknight
2019-09-02T04:00:00Z,2019-09-03T04:00:00Z,0,2019-09-03T05:05:00Z,2019-09-03T12:32:00Z,0,4,447,7.5,1,425,-33,Mon,Worknight
2019-09-03T04:00:00Z,2019-09-04T04:00:00Z,0,2019-09-04T04:26:00Z,2019-09-04T12:36:00Z,0,4.25,490,8.2,0,386,10,Tue,Worknight
2019-09-04T04:00:00Z,2019-09-05T04:00:00Z,0,2019-09-05T06:57:00Z,2019-09-05T12:06:00Z,0,3.5,309,5.2,2,537,-171,Wed,Worknight
2019-09-05T04:00:00Z,2019-09-06T04:00:00Z,0,2019-09-06T01:44:00Z,2019-09-06T12:20:00Z,0,5,636,10.6,21,224,156,Thu,Worknight
2019-09-06T04:00:00Z,2019-09-07T04:00:00Z,0,2019-09-07T07:47:00Z,2019-09-07T14:18:00Z,0,3.5,391,6.5,3,587,-89,Fri,Fri-Sat
2019-09-07T04:00:00Z,2019-09-08T04:00:00Z,0,2019-09-08T04:15:00Z,2019-09-08T14:50:00Z,0,4.5,635,10.6,0,375,155,Sat,Fri-Sat
2019-09-08T04:00:00Z,2019-09-09T04:00:00Z,0,2019-09-09T03:10:00Z,2019-09-09T12:11:00Z,0,4.5,541,9,23,310,61,Sun,Worknight
2019-09-09T04:00:00Z,2019-09-10T04:00:00Z,0,2019-09-10T05:13:00Z,2019-09-10T12:14:00Z,0,3.5,421,7,1,433,-59,Mon,Worknight
2019-09-10T04:00:00Z,2019-09-11T04:00:00Z,0,2019-09-11T05:08:00Z,2019-09-11T13:13:00Z,0,4.5,485,8.1,1,428,5,Tue,Worknight
2019-09-11T04:00:00Z,2019-09-12T04:00:00Z,1,2019-09-12T04:26:00Z,2019-09-12T13:02:00Z,0,2.75,516,8.6,0,386,36,Wed,Worknight
2019-09-12T04:00:00Z,2019-09-13T04:00:00Z,0,2019-09-13T04:31:00Z,2019-09-13T10:53:00Z,0,3.5,382,6.4,0,391,-98,Thu,Worknight
2019-09-13T04:00:00Z,2019-09-14T04:00:00Z,0,2019-09-14T08:48:00Z,2019-09-14T15:31:00Z,0,0,403,6.7,4,648,-77,Fri,Fri-Sat
2019-09-14T04:00:00Z,2019-09-15T04:00:00Z,0,2019-09-15T09:34:00Z,2019-09-15T14:21:00Z,0,2.75,287,4.8,5,694,-193,Sat,Fri-Sat
2019-09-15T04:00:00Z,2019-09-16T04:00:00Z,0,2019-09-16T03:45:00Z,2019-09-16T13:16:00Z,0,3.5,571,9.5,23,345,91,Sun,Worknight
